Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.249,0.284
custom|arc:easy|0,0.593,0.571
custom|commonsense_qa|0,0.323,0.306
custom|hellaswag|0,0.343,0.396
custom|mmlu:abstract_algebra|0,0.22,0.24
custom|mmlu:anatomy|0,0.31851851851851853,0.34074074074074073
custom|mmlu:astronomy|0,0.2565789473684211,0.32894736842105265
custom|mmlu:business_ethics|0,0.46,0.37
custom|mmlu:clinical_knowledge|0,0.2679245283018868,0.3283018867924528
custom|mmlu:college_biology|0,0.3263888888888889,0.3125
custom|mmlu:college_chemistry|0,0.25,0.23
custom|mmlu:college_computer_science|0,0.32,0.3
custom|mmlu:college_mathematics|0,0.16,0.24
custom|mmlu:college_medicine|0,0.27167630057803466,0.26011560693641617
custom|mmlu:college_physics|0,0.13725490196078433,0.14705882352941177
custom|mmlu:computer_security|0,0.25,0.34
custom|mmlu:conceptual_physics|0,0.34893617021276596,0.28085106382978725
custom|mmlu:econometrics|0,0.21052631578947367,0.23684210526315788
custom|mmlu:electrical_engineering|0,0.2620689655172414,0.30344827586206896
custom|mmlu:elementary_mathematics|0,0.2275132275132275,0.21693121693121692
custom|mmlu:formal_logic|0,0.2777777777777778,0.23809523809523808
custom|mmlu:global_facts|0,0.26,0.26
custom|mmlu:high_school_biology|0,0.29354838709677417,0.31290322580645163
custom|mmlu:high_school_chemistry|0,0.17733990147783252,0.19704433497536947
custom|mmlu:high_school_computer_science|0,0.21,0.28
custom|mmlu:high_school_european_history|0,0.2606060606060606,0.4303030303030303
custom|mmlu:high_school_geography|0,0.3181818181818182,0.3484848484848485
custom|mmlu:high_school_government_and_politics|0,0.3316062176165803,0.35233160621761656
custom|mmlu:high_school_macroeconomics|0,0.2358974358974359,0.2692307692307692
custom|mmlu:high_school_mathematics|0,0.14814814814814814,0.21851851851851853
custom|mmlu:high_school_microeconomics|0,0.2857142857142857,0.35714285714285715
custom|mmlu:high_school_physics|0,0.26490066225165565,0.23841059602649006
custom|mmlu:high_school_psychology|0,0.3889908256880734,0.3559633027522936
custom|mmlu:high_school_statistics|0,0.2638888888888889,0.2777777777777778
custom|mmlu:high_school_us_history|0,0.27941176470588236,0.3333333333333333
custom|mmlu:high_school_world_history|0,0.29957805907172996,0.29535864978902954
custom|mmlu:human_aging|0,0.34080717488789236,0.3183856502242152
custom|mmlu:human_sexuality|0,0.3511450381679389,0.366412213740458
custom|mmlu:international_law|0,0.1322314049586777,0.2644628099173554
custom|mmlu:jurisprudence|0,0.23148148148148148,0.3425925925925926
custom|mmlu:logical_fallacies|0,0.26993865030674846,0.3067484662576687
custom|mmlu:machine_learning|0,0.19642857142857142,0.25892857142857145
custom|mmlu:management|0,0.24271844660194175,0.3786407766990291
custom|mmlu:marketing|0,0.3974358974358974,0.39316239316239315
custom|mmlu:medical_genetics|0,0.27,0.33
custom|mmlu:miscellaneous|0,0.39208173690932313,0.35887611749680715
custom|mmlu:moral_disputes|0,0.2398843930635838,0.20809248554913296
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.27262569832402234
custom|mmlu:nutrition|0,0.27124183006535946,0.3431372549019608
custom|mmlu:philosophy|0,0.26366559485530544,0.26688102893890675
custom|mmlu:prehistory|0,0.345679012345679,0.2839506172839506
custom|mmlu:professional_accounting|0,0.28368794326241137,0.25177304964539005
custom|mmlu:professional_law|0,0.253,0.278
custom|mmlu:professional_medicine|0,0.27941176470588236,0.3235294117647059
custom|mmlu:professional_psychology|0,0.28921568627450983,0.28921568627450983
custom|mmlu:public_relations|0,0.32727272727272727,0.2
custom|mmlu:security_studies|0,0.3183673469387755,0.23265306122448978
custom|mmlu:sociology|0,0.2537313432835821,0.27860696517412936
custom|mmlu:us_foreign_policy|0,0.27,0.32
custom|mmlu:virology|0,0.25301204819277107,0.3253012048192771
custom|mmlu:world_religions|0,0.30409356725146197,0.4093567251461988
custom|openbookqa|0,0.198,0.318
custom|piqa|0,0.656,0.687
custom|siqa|0,0.372,0.387
custom|winogrande|0,0.518,0.496
custom|arc:_average|0,0.421,0.4275
custom|mmlu:_average|0,0.2736403067417254,0.2954731220583455
all,0.2899922689888978,0.31210719934347225
