Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.247,0.298
custom|arc:easy|0,0.613,0.593
custom|commonsense_qa|0,0.32,0.31
custom|hellaswag|0,0.371,0.431
custom|mmlu:abstract_algebra|0,0.22,0.26
custom|mmlu:anatomy|0,0.362962962962963,0.34074074074074073
custom|mmlu:astronomy|0,0.3157894736842105,0.4144736842105263
custom|mmlu:business_ethics|0,0.52,0.42
custom|mmlu:clinical_knowledge|0,0.2679245283018868,0.35094339622641507
custom|mmlu:college_biology|0,0.3402777777777778,0.3333333333333333
custom|mmlu:college_chemistry|0,0.25,0.23
custom|mmlu:college_computer_science|0,0.28,0.31
custom|mmlu:college_mathematics|0,0.13,0.2
custom|mmlu:college_medicine|0,0.2832369942196532,0.2832369942196532
custom|mmlu:college_physics|0,0.18627450980392157,0.17647058823529413
custom|mmlu:computer_security|0,0.32,0.33
custom|mmlu:conceptual_physics|0,0.3872340425531915,0.3191489361702128
custom|mmlu:econometrics|0,0.21052631578947367,0.21929824561403508
custom|mmlu:electrical_engineering|0,0.25517241379310346,0.30344827586206896
custom|mmlu:elementary_mathematics|0,0.23544973544973544,0.23015873015873015
custom|mmlu:formal_logic|0,0.2698412698412698,0.21428571428571427
custom|mmlu:global_facts|0,0.24,0.22
custom|mmlu:high_school_biology|0,0.3064516129032258,0.3193548387096774
custom|mmlu:high_school_chemistry|0,0.18226600985221675,0.21674876847290642
custom|mmlu:high_school_computer_science|0,0.24,0.28
custom|mmlu:high_school_european_history|0,0.296969696969697,0.40606060606060607
custom|mmlu:high_school_geography|0,0.29797979797979796,0.41414141414141414
custom|mmlu:high_school_government_and_politics|0,0.34196891191709844,0.38860103626943004
custom|mmlu:high_school_macroeconomics|0,0.26666666666666666,0.2846153846153846
custom|mmlu:high_school_mathematics|0,0.16666666666666666,0.23333333333333334
custom|mmlu:high_school_microeconomics|0,0.33613445378151263,0.3697478991596639
custom|mmlu:high_school_physics|0,0.2251655629139073,0.24503311258278146
custom|mmlu:high_school_psychology|0,0.41467889908256883,0.381651376146789
custom|mmlu:high_school_statistics|0,0.2638888888888889,0.25462962962962965
custom|mmlu:high_school_us_history|0,0.29901960784313725,0.3333333333333333
custom|mmlu:high_school_world_history|0,0.2869198312236287,0.3037974683544304
custom|mmlu:human_aging|0,0.3542600896860987,0.29596412556053814
custom|mmlu:human_sexuality|0,0.35877862595419846,0.3816793893129771
custom|mmlu:international_law|0,0.1487603305785124,0.30578512396694213
custom|mmlu:jurisprudence|0,0.23148148148148148,0.3425925925925926
custom|mmlu:logical_fallacies|0,0.2883435582822086,0.3067484662576687
custom|mmlu:machine_learning|0,0.25,0.26785714285714285
custom|mmlu:management|0,0.2912621359223301,0.4077669902912621
custom|mmlu:marketing|0,0.42735042735042733,0.4017094017094017
custom|mmlu:medical_genetics|0,0.29,0.33
custom|mmlu:miscellaneous|0,0.4099616858237548,0.384418901660281
custom|mmlu:moral_disputes|0,0.2543352601156069,0.21098265895953758
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.2759776536312849
custom|mmlu:nutrition|0,0.28431372549019607,0.3562091503267974
custom|mmlu:philosophy|0,0.2797427652733119,0.2958199356913183
custom|mmlu:prehistory|0,0.3888888888888889,0.27469135802469136
custom|mmlu:professional_accounting|0,0.2553191489361702,0.2730496453900709
custom|mmlu:professional_law|0,0.241,0.27
custom|mmlu:professional_medicine|0,0.29044117647058826,0.29411764705882354
custom|mmlu:professional_psychology|0,0.29248366013071897,0.3104575163398693
custom|mmlu:public_relations|0,0.4,0.21818181818181817
custom|mmlu:security_studies|0,0.3183673469387755,0.2571428571428571
custom|mmlu:sociology|0,0.2835820895522388,0.31343283582089554
custom|mmlu:us_foreign_policy|0,0.29,0.33
custom|mmlu:virology|0,0.25903614457831325,0.3313253012048193
custom|mmlu:world_religions|0,0.3684210526315789,0.4678362573099415
custom|openbookqa|0,0.204,0.354
custom|piqa|0,0.658,0.668
custom|siqa|0,0.375,0.392
custom|winogrande|0,0.518,0.517
custom|arc:_average|0,0.43,0.4455
custom|mmlu:_average|0,0.2893611412590744,0.3068479580553971
all,0.3046090007964192,0.32389744014088656
