Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.193,0.25
custom|arc:easy|0,0.484,0.456
custom|commonsense_qa|0,0.242,0.272
custom|hellaswag|0,0.294,0.31
custom|mmlu:abstract_algebra|0,0.17,0.2
custom|mmlu:anatomy|0,0.2518518518518518,0.3037037037037037
custom|mmlu:astronomy|0,0.2565789473684211,0.3092105263157895
custom|mmlu:business_ethics|0,0.36,0.34
custom|mmlu:clinical_knowledge|0,0.21132075471698114,0.30566037735849055
custom|mmlu:college_biology|0,0.2847222222222222,0.2916666666666667
custom|mmlu:college_chemistry|0,0.21,0.21
custom|mmlu:college_computer_science|0,0.23,0.29
custom|mmlu:college_mathematics|0,0.16,0.19
custom|mmlu:college_medicine|0,0.2658959537572254,0.2543352601156069
custom|mmlu:college_physics|0,0.19607843137254902,0.22549019607843138
custom|mmlu:computer_security|0,0.21,0.26
custom|mmlu:conceptual_physics|0,0.2851063829787234,0.20425531914893616
custom|mmlu:econometrics|0,0.18421052631578946,0.21929824561403508
custom|mmlu:electrical_engineering|0,0.2620689655172414,0.296551724137931
custom|mmlu:elementary_mathematics|0,0.25925925925925924,0.25925925925925924
custom|mmlu:formal_logic|0,0.30158730158730157,0.2619047619047619
custom|mmlu:global_facts|0,0.24,0.23
custom|mmlu:high_school_biology|0,0.2645161290322581,0.29354838709677417
custom|mmlu:high_school_chemistry|0,0.18719211822660098,0.2512315270935961
custom|mmlu:high_school_computer_science|0,0.2,0.27
custom|mmlu:high_school_european_history|0,0.26666666666666666,0.30303030303030304
custom|mmlu:high_school_geography|0,0.3181818181818182,0.3282828282828283
custom|mmlu:high_school_government_and_politics|0,0.2694300518134715,0.31088082901554404
custom|mmlu:high_school_macroeconomics|0,0.2358974358974359,0.2692307692307692
custom|mmlu:high_school_mathematics|0,0.12222222222222222,0.2
custom|mmlu:high_school_microeconomics|0,0.23109243697478993,0.3445378151260504
custom|mmlu:high_school_physics|0,0.26490066225165565,0.271523178807947
custom|mmlu:high_school_psychology|0,0.3247706422018349,0.3321100917431193
custom|mmlu:high_school_statistics|0,0.2638888888888889,0.30092592592592593
custom|mmlu:high_school_us_history|0,0.29411764705882354,0.35784313725490197
custom|mmlu:high_school_world_history|0,0.24050632911392406,0.25738396624472576
custom|mmlu:human_aging|0,0.34977578475336324,0.2914798206278027
custom|mmlu:human_sexuality|0,0.3282442748091603,0.32061068702290074
custom|mmlu:international_law|0,0.1487603305785124,0.2727272727272727
custom|mmlu:jurisprudence|0,0.2037037037037037,0.24074074074074073
custom|mmlu:logical_fallacies|0,0.26993865030674846,0.3067484662576687
custom|mmlu:machine_learning|0,0.29464285714285715,0.21428571428571427
custom|mmlu:management|0,0.23300970873786409,0.32038834951456313
custom|mmlu:marketing|0,0.32051282051282054,0.32905982905982906
custom|mmlu:medical_genetics|0,0.28,0.3
custom|mmlu:miscellaneous|0,0.2937420178799489,0.2835249042145594
custom|mmlu:moral_disputes|0,0.23410404624277456,0.20520231213872833
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.27262569832402234
custom|mmlu:nutrition|0,0.25163398692810457,0.3006535947712418
custom|mmlu:philosophy|0,0.2379421221864952,0.2604501607717042
custom|mmlu:prehistory|0,0.3117283950617284,0.20987654320987653
custom|mmlu:professional_accounting|0,0.2907801418439716,0.2624113475177305
custom|mmlu:professional_law|0,0.252,0.255
custom|mmlu:professional_medicine|0,0.24632352941176472,0.2647058823529412
custom|mmlu:professional_psychology|0,0.2630718954248366,0.2630718954248366
custom|mmlu:public_relations|0,0.3181818181818182,0.23636363636363636
custom|mmlu:security_studies|0,0.3183673469387755,0.2
custom|mmlu:sociology|0,0.24378109452736318,0.24378109452736318
custom|mmlu:us_foreign_policy|0,0.3,0.26
custom|mmlu:virology|0,0.2289156626506024,0.26506024096385544
custom|mmlu:world_religions|0,0.1695906432748538,0.2631578947368421
custom|openbookqa|0,0.152,0.298
custom|piqa|0,0.599,0.603
custom|siqa|0,0.356,0.39
custom|winogrande|0,0.498,0.496
custom|arc:_average|0,0.3385,0.353
custom|mmlu:_average|0,0.25348777725248545,0.2698910681528058
all,0.2656431277444873,0.28398139822630664
