Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.216,0.266
custom|arc:easy|0,0.496,0.484
custom|commonsense_qa|0,0.256,0.267
custom|hellaswag|0,0.296,0.332
custom|mmlu:abstract_algebra|0,0.21,0.18
custom|mmlu:anatomy|0,0.3111111111111111,0.3111111111111111
custom|mmlu:astronomy|0,0.2631578947368421,0.3223684210526316
custom|mmlu:business_ethics|0,0.42,0.34
custom|mmlu:clinical_knowledge|0,0.23773584905660378,0.33584905660377357
custom|mmlu:college_biology|0,0.2916666666666667,0.2916666666666667
custom|mmlu:college_chemistry|0,0.22,0.2
custom|mmlu:college_computer_science|0,0.25,0.29
custom|mmlu:college_mathematics|0,0.16,0.19
custom|mmlu:college_medicine|0,0.2774566473988439,0.23699421965317918
custom|mmlu:college_physics|0,0.22549019607843138,0.22549019607843138
custom|mmlu:computer_security|0,0.24,0.26
custom|mmlu:conceptual_physics|0,0.28936170212765955,0.20425531914893616
custom|mmlu:econometrics|0,0.20175438596491227,0.20175438596491227
custom|mmlu:electrical_engineering|0,0.2482758620689655,0.2896551724137931
custom|mmlu:elementary_mathematics|0,0.2275132275132275,0.21957671957671956
custom|mmlu:formal_logic|0,0.2857142857142857,0.24603174603174602
custom|mmlu:global_facts|0,0.31,0.27
custom|mmlu:high_school_biology|0,0.29354838709677417,0.3225806451612903
custom|mmlu:high_school_chemistry|0,0.16748768472906403,0.26108374384236455
custom|mmlu:high_school_computer_science|0,0.2,0.25
custom|mmlu:high_school_european_history|0,0.28484848484848485,0.3878787878787879
custom|mmlu:high_school_geography|0,0.32323232323232326,0.3383838383838384
custom|mmlu:high_school_government_and_politics|0,0.2849740932642487,0.33678756476683935
custom|mmlu:high_school_macroeconomics|0,0.24102564102564103,0.2717948717948718
custom|mmlu:high_school_mathematics|0,0.15555555555555556,0.22592592592592592
custom|mmlu:high_school_microeconomics|0,0.24789915966386555,0.3487394957983193
custom|mmlu:high_school_physics|0,0.26490066225165565,0.2847682119205298
custom|mmlu:high_school_psychology|0,0.344954128440367,0.3137614678899083
custom|mmlu:high_school_statistics|0,0.2361111111111111,0.3055555555555556
custom|mmlu:high_school_us_history|0,0.30392156862745096,0.3333333333333333
custom|mmlu:high_school_world_history|0,0.25738396624472576,0.270042194092827
custom|mmlu:human_aging|0,0.3632286995515695,0.3004484304932735
custom|mmlu:human_sexuality|0,0.366412213740458,0.3435114503816794
custom|mmlu:international_law|0,0.1487603305785124,0.2727272727272727
custom|mmlu:jurisprudence|0,0.1574074074074074,0.25925925925925924
custom|mmlu:logical_fallacies|0,0.26993865030674846,0.294478527607362
custom|mmlu:machine_learning|0,0.30357142857142855,0.21428571428571427
custom|mmlu:management|0,0.20388349514563106,0.32038834951456313
custom|mmlu:marketing|0,0.3333333333333333,0.3418803418803419
custom|mmlu:medical_genetics|0,0.25,0.31
custom|mmlu:miscellaneous|0,0.3371647509578544,0.3128991060025543
custom|mmlu:moral_disputes|0,0.2254335260115607,0.2023121387283237
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.27262569832402234
custom|mmlu:nutrition|0,0.24509803921568626,0.32679738562091504
custom|mmlu:philosophy|0,0.2315112540192926,0.2829581993569132
custom|mmlu:prehistory|0,0.32098765432098764,0.20679012345679013
custom|mmlu:professional_accounting|0,0.30141843971631205,0.2872340425531915
custom|mmlu:professional_law|0,0.241,0.255
custom|mmlu:professional_medicine|0,0.2647058823529412,0.29044117647058826
custom|mmlu:professional_psychology|0,0.272875816993464,0.2647058823529412
custom|mmlu:public_relations|0,0.2909090909090909,0.2545454545454545
custom|mmlu:security_studies|0,0.3183673469387755,0.24489795918367346
custom|mmlu:sociology|0,0.24378109452736318,0.23880597014925373
custom|mmlu:us_foreign_policy|0,0.3,0.31
custom|mmlu:virology|0,0.2289156626506024,0.27710843373493976
custom|mmlu:world_religions|0,0.2222222222222222,0.29239766081871343
custom|openbookqa|0,0.168,0.3
custom|piqa|0,0.625,0.625
custom|siqa|0,0.374,0.391
custom|winogrande|0,0.523,0.503
custom|arc:_average|0,0.356,0.375
custom|mmlu:_average|0,0.2623508028213281,0.27792784610691296
all,0.27550762708947235,0.29245980350913914
